Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
"WWE SmackDown! Here Comes the Pain","PS2",2003,"Fighting","THQ",1.320000,1.060000,0.040000,0.380000,2.800000
"Star Wars: The Force Unleashed","X360",2008,"Action","LucasArts",1.740000,0.800000,0.000000,0.260000,2.800000
"Yoshis Island DS","DS",2006,"Platform","Nintendo",1.470000,0.070000,1.100000,0.150000,2.800000
"Hot Shots Golf","PS",1997,"Sports","Sony Computer Entertainment",0.290000,0.200000,2.130000,0.180000,2.790000
"Killzone 3","PS3",2011,"Shooter","Sony Computer Entertainment",1.450000,0.880000,0.090000,0.380000,2.790000
"A Bugs Life","PS",1998,"Platform","Sony Computer Entertainment",1.960000,0.720000,0.000000,0.110000,2.790000
"WWF SmackDown! Just Bring It","PS2",2001,"Fighting","THQ",1.190000,1.150000,0.040000,0.410000,2.790000
"Dragon Quest V: Tenkuu no Hanayome","SNES",1992,"Role-Playing","Enix Corporation",0.000000,0.000000,2.780000,0.010000,2.790000
"Mortal Kombat Trilogy","PS",1996,"Fighting","GT Interactive",1.980000,0.700000,0.000000,0.110000,2.790000
"Battlefield 3","PC",2011,"Shooter","Electronic Arts",0.890000,1.430000,0.000000,0.480000,2.790000
"NBA Street","PS2",2001,"Sports","Electronic Arts",2.190000,0.220000,0.000000,0.380000,2.790000
"Professor Layton and the Last Specter","DS",2009,"Puzzle","Nintendo",0.300000,1.470000,0.680000,0.340000,2.790000
"Monster Hunter Tri","3DS",2011,"Role-Playing","Nintendo",0.460000,0.290000,1.960000,0.070000,2.790000
"Jak II","PS2",2003,"Platform","Sony Computer Entertainment",1.680000,0.740000,0.000000,0.360000,2.780000
"inFAMOUS: Second Son","PS4",2014,"Action","Sony Computer Entertainment",1.270000,0.970000,0.070000,0.470000,2.780000
"Ratchet & Clank: Going Commando","PS2",2003,"Platform","Sony Computer Entertainment",1.440000,0.830000,0.260000,0.250000,2.780000
"Tekken 6","PS3",2009,"Fighting","Namco Bandai Games",1.200000,0.980000,0.170000,0.430000,2.780000
"The Sims","PS2",2003,"Simulation","Electronic Arts",1.410000,1.120000,0.000000,0.240000,2.770000
"Sonic and the Secret Rings","Wii",2007,"Platform","Sega",1.240000,1.200000,0.040000,0.300000,2.770000
"Saints Row: The Third","X360",2011,"Action","THQ",1.250000,1.150000,0.070000,0.300000,2.770000
"Missile Command","2600",1980,"Shooter","Atari",2.560000,0.170000,0.000000,0.030000,2.760000
"Mario Paint","SNES",1992,"Misc","Nintendo",1.430000,0.540000,0.710000,0.070000,2.750000
"Assassins Creed IV: Black Flag","PS4",2013,"Action","Ubisoft",1.070000,1.310000,0.060000,0.310000,2.740000
"Pokémon Stadium 2","N64",2000,"Strategy","Nintendo",1.020000,0.360000,1.130000,0.230000,2.730000
"Metroid","NES",1986,"Action","Nintendo",1.330000,0.310000,1.040000,0.050000,2.730000
"L.A. Noire","X360",2011,"Adventure","Take-Two Interactive",1.520000,0.940000,0.020000,0.240000,2.720000
"Call of Duty 3","X360",2006,"Shooter","Activision",1.490000,0.930000,0.020000,0.270000,2.710000
"The Legend of Zelda: A Link to the Past","GBA",2002,"Action","Nintendo",1.750000,0.520000,0.330000,0.100000,2.700000
"Onimusha: Warlords","PS2",2001,"Action","Virgin Interactive",0.990000,0.480000,1.090000,0.140000,2.700000
"Mortal Kombat X","PS4",2015,"Fighting","Warner Bros. Interactive Entertainment",1.470000,0.760000,0.000000,0.470000,2.700000
"Mario Party","N64",1998,"Misc","Nintendo",1.250000,0.530000,0.870000,0.050000,2.700000
"Madden NFL 12","X360",2011,"Sports","Electronic Arts",2.420000,0.110000,0.000000,0.160000,2.690000
"LEGO Star Wars II: The Original Trilogy","PS2",2006,"Action","LucasArts",1.850000,0.640000,0.010000,0.190000,2.690000
"Madden NFL 11","X360",2010,"Sports","Electronic Arts",2.380000,0.120000,0.000000,0.180000,2.690000
"Mario vs. Donkey Kong: Mini-Land Mayhem!","DS",2010,"Puzzle","Nintendo",1.630000,0.520000,0.350000,0.180000,2.690000
"Skate 3","X360",2010,"Sports","Electronic Arts",1.460000,0.980000,0.000000,0.240000,2.680000
"Burnout 3: Takedown","PS2",2004,"Racing","Electronic Arts",1.230000,1.110000,0.000000,0.340000,2.680000
"Yokai Watch 2 Shinuchi","3DS",2014,"Role-Playing","Level 5",0.000000,0.000000,2.680000,0.000000,2.680000
"Need for Speed: Shift","PS3",2009,"Racing","Electronic Arts",0.690000,1.410000,0.040000,0.530000,2.680000
"Final Fantasy XIII-2","PS3",2011,"Role-Playing","Square Enix",0.780000,0.750000,0.890000,0.260000,2.680000
"Mortal Kombat","GEN",1992,"Fighting","Arena Entertainment",1.950000,0.630000,0.000000,0.090000,2.670000
"Call Of Duty 2: Big Red One","PS2",2005,"Shooter","Activision",1.480000,0.920000,0.010000,0.260000,2.670000
"Guitar Hero: World Tour","X360",2008,"Misc","Activision",1.780000,0.640000,0.000000,0.250000,2.670000
"Medal of Honor","PS",1998,"Shooter","Electronic Arts",1.440000,1.090000,0.000000,0.140000,2.670000
"Fable","XB",2004,"Role-Playing","Microsoft Game Studios",1.990000,0.580000,0.000000,0.090000,2.660000
"Hannah Montana","DS",2006,"Action","Disney Interactive Studios",1.590000,0.800000,0.000000,0.260000,2.650000
"Tom Clancys Splinter Cell","PS2",2003,"Action","Ubisoft",1.150000,1.110000,0.000000,0.400000,2.650000
"Skylanders Giants","Wii",2012,"Action","Activision",1.560000,0.880000,0.000000,0.220000,2.650000
"Medal of Honor Heroes","PSP",2006,"Shooter","Electronic Arts",0.860000,1.110000,0.010000,0.660000,2.650000
"Super Mario Bros.: The Lost Levels","NES",1986,"Platform","Nintendo",0.000000,0.000000,2.650000,0.000000,2.650000
"Star Wars: Shadows of the Empire","N64",1996,"Action","Nintendo",2.000000,0.500000,0.120000,0.030000,2.650000
"LEGO Star Wars: The Complete Saga","X360",2007,"Action","LucasArts",1.530000,0.870000,0.000000,0.240000,2.640000
"Midnight Club: Street Racing","PS2",2000,"Racing","Take-Two Interactive",2.000000,0.470000,0.020000,0.140000,2.630000
"Pac-Man: Adventures in Time","PSP",2006,"Fighting","Sony Computer Entertainment",0.760000,1.100000,0.120000,0.650000,2.630000
"Halo Wars","X360",2009,"Strategy","Microsoft Game Studios",1.530000,0.820000,0.040000,0.240000,2.630000
"God of War Collection","PS3",2009,"Action","Sony Computer Entertainment",1.700000,0.460000,0.060000,0.410000,2.630000
"ESPN NFL 2K5","PS2",2004,"Sports","Sega",2.150000,0.120000,0.000000,0.360000,2.620000
"Mario Strikers Charged","Wii",2007,"Sports","Nintendo",1.070000,1.060000,0.240000,0.250000,2.620000
"Medal of Honor","X360",2010,"Shooter","Electronic Arts",1.550000,0.810000,0.040000,0.210000,2.620000
"FIFA Soccer 10","X360",2009,"Sports","Electronic Arts",0.590000,1.790000,0.010000,0.230000,2.620000
"NBA 2K12","X360",2011,"Sports","Take-Two Interactive",2.310000,0.140000,0.010000,0.160000,2.620000
"Style Savvy","DS",2008,"Simulation","Nintendo",0.630000,0.840000,0.960000,0.190000,2.610000
"Harry Potter and the Chamber of Secrets","PS2",2002,"Action","Electronic Arts",0.900000,1.220000,0.040000,0.440000,2.610000
"Super Mario All-Stars: Limited Edition","Wii",2010,"Platform","Nintendo",1.020000,0.520000,0.920000,0.140000,2.600000
"Streets of Rage","GEN",1990,"Action","Sega",1.860000,0.550000,0.110000,0.080000,2.600000
"FIFA Soccer 09","PS3",2008,"Sports","Electronic Arts",0.480000,1.630000,0.040000,0.430000,2.590000
"Ratchet & Clank Future: Tools of Destruction","PS3",2007,"Platform","Sony Computer Entertainment",0.930000,1.120000,0.080000,0.450000,2.590000
"NBA Live 2005","PS2",2004,"Sports","Electronic Arts",2.030000,0.210000,0.000000,0.350000,2.590000
"LittleBigPlanet","PSP",2009,"Platform","Sony Computer Entertainment",0.640000,1.240000,0.010000,0.690000,2.580000
"Killzone: Shadow Fall","PS4",2013,"Shooter","Sony Computer Entertainment",0.890000,1.330000,0.070000,0.280000,2.580000
"Ghostbusters: The Video Game (DS Version)","X360",2009,"Action","Take-Two Interactive",1.040000,1.240000,0.030000,0.270000,2.580000
"Monster Hunter Freedom 2","PSP",2007,"Role-Playing","Capcom",0.370000,0.270000,1.750000,0.180000,2.580000
"WWE SmackDown vs. RAW 2007","PS2",2006,"Fighting","THQ",1.400000,0.880000,0.030000,0.260000,2.580000
"Ratchet & Clank: Up Your Arsenal","PS2",2004,"Platform","Sony Computer Entertainment",1.310000,0.740000,0.310000,0.220000,2.570000
"Art Academy","DS",2010,"Misc","Nintendo",0.280000,1.680000,0.330000,0.280000,2.570000
"Dragon Age: Origins","X360",2009,"Role-Playing","Electronic Arts",1.760000,0.560000,0.030000,0.220000,2.570000
"Madden NFL 08","PS2",2007,"Sports","Electronic Arts",2.140000,0.080000,0.000000,0.350000,2.570000
"Sonic Adventure 2 Battle","GC",2001,"Platform","Sega",1.700000,0.590000,0.210000,0.070000,2.560000
"Dragon Warrior II","NES",1987,"Role-Playing","Enix Corporation",0.150000,0.000000,2.410000,0.000000,2.560000
"Madden NFL 13","PS3",2012,"Sports","Electronic Arts",2.110000,0.230000,0.000000,0.220000,2.560000
"Pokémon Colosseum","GC",2003,"Role-Playing","Nintendo",1.210000,0.570000,0.700000,0.070000,2.540000
"Deca Sports","Wii",2008,"Sports","Konami Digital Entertainment",1.130000,0.870000,0.290000,0.250000,2.540000
"Madden NFL 09","X360",2008,"Sports","Electronic Arts",2.210000,0.120000,0.000000,0.200000,2.540000
"Crazy Taxi","PS2",2001,"Racing","Acclaim Entertainment",1.130000,1.120000,0.060000,0.220000,2.520000
"Perfect Dark","N64",2000,"Action","Nintendo",1.550000,0.750000,0.160000,0.060000,2.520000
"Game Party","Wii",2007,"Misc","Midway Games",1.500000,0.780000,0.000000,0.240000,2.520000
"Dragon Warrior","NES",1986,"Role-Playing","Capcom",0.490000,0.000000,0.520000,1.510000,2.520000
"Tomb Raider (2013)","PS3",2013,"Action","Square Enix",0.600000,1.310000,0.080000,0.520000,2.510000
"Marvel: Ultimate Alliance","X360",2006,"Role-Playing","Activision",2.290000,0.020000,0.000000,0.190000,2.500000
"PES 2009: Pro Evolution Soccer","PS2",2008,"Sports","Konami Digital Entertainment",0.130000,0.070000,0.260000,2.050000,2.500000
"Mario Party 2","N64",1999,"Misc","Nintendo",1.280000,0.140000,1.080000,0.010000,2.500000
"Saints Row: The Third","PS3",2011,"Action","THQ",0.860000,1.060000,0.180000,0.390000,2.490000
"Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City","XB",2003,"Action","Take-Two Interactive",1.840000,0.560000,0.000000,0.090000,2.490000
"LEGO Harry Potter: Years 1-4","Wii",2010,"Action","Warner Bros. Interactive Entertainment",1.290000,0.970000,0.000000,0.230000,2.490000
"Mortal Kombat: Deadly Alliance","PS2",2002,"Fighting","Midway Games",1.810000,0.520000,0.000000,0.150000,2.490000
"Resistance 2","PS3",2008,"Shooter","Sony Computer Entertainment",1.150000,0.850000,0.100000,0.390000,2.480000
"Pure","X360",2008,"Racing","Disney Interactive Studios",1.380000,0.850000,0.000000,0.250000,2.480000
"Tomb Raider: The Last Revelation","PS",1998,"Action","Eidos Interactive",1.150000,1.140000,0.060000,0.130000,2.480000
"NBA 2K13","PS3",2012,"Sports","Take-Two Interactive",1.720000,0.440000,0.050000,0.270000,2.480000
"NBA 2K14","X360",2013,"Sports","Take-Two Interactive",2.100000,0.200000,0.000000,0.170000,2.470000
"Mario Party 4","GC",2002,"Misc","Nintendo",1.130000,0.360000,0.920000,0.070000,2.470000
"uDraw Studio","Wii",2010,"Misc","THQ",1.670000,0.580000,0.000000,0.200000,2.460000
"Midnight Club: Los Angeles","PS3",2008,"Racing","Take-Two Interactive",1.550000,0.540000,0.050000,0.310000,2.450000
"Final Fantasy V","SNES",1992,"Role-Playing","SquareSoft",0.000000,0.000000,2.430000,0.020000,2.450000
"Final Fantasy Tactics","PS",1997,"Role-Playing","SquareSoft",0.930000,0.120000,1.340000,0.060000,2.450000
"Twisted Metal 2","PS",1996,"Racing","Sony Computer Entertainment",2.120000,0.250000,0.000000,0.070000,2.440000
"Halo: Combat Evolved Anniversary","X360",2011,"Shooter","Microsoft Game Studios",1.440000,0.730000,0.040000,0.220000,2.440000
"Need for Speed Carbon: Own the City","PSP",2006,"Racing","Electronic Arts",0.870000,0.980000,0.000000,0.590000,2.440000
"The Sims: Bustin Out","PS2",2003,"Simulation","Electronic Arts",1.070000,1.190000,0.000000,0.180000,2.430000
"Riven: The Sequel to Myst","PC",1997,"Adventure","Red Orb",1.520000,0.820000,0.000000,0.100000,2.430000
"Tom Clancys Rainbow Six: Vegas 2","X360",2008,"Shooter","Ubisoft",1.560000,0.610000,0.020000,0.230000,2.420000
"Sonic Adventure","DC",1998,"Platform","Sega",1.260000,0.610000,0.460000,0.080000,2.420000
"Ice Hockey","NES",1988,"Sports","Nintendo",1.270000,0.320000,0.780000,0.050000,2.420000
"pro evolution soccer 2011","PS3",2010,"Sports","Konami Digital Entertainment",0.290000,1.180000,0.540000,0.410000,2.420000
"Dragon Ball Z: Budokai 2","PS2",2003,"Fighting","Atari",1.630000,0.220000,0.510000,0.060000,2.410000
"ATV Offroad Fury","PS2",2001,"Racing","Sony Computer Entertainment",2.070000,0.260000,0.000000,0.080000,2.410000
"Dino Crisis","PS",1998,"Action","Capcom",0.810000,0.760000,0.700000,0.140000,2.410000
"Minecraft","XOne",2014,"Misc","Microsoft Game Studios",1.430000,0.760000,0.000000,0.220000,2.410000
"Need for Speed: ProStreet","PS2",2007,"Racing","Electronic Arts",0.690000,0.000000,0.040000,1.680000,2.410000
"Madden NFL 16","XOne",2015,"Sports","Electronic Arts",2.070000,0.080000,0.000000,0.260000,2.400000
"Tetris Plus","PS",1996,"Puzzle","JVC",2.100000,0.240000,0.000000,0.070000,2.400000
"Pro Wrestling","NES",1987,"Fighting","Nintendo",0.770000,0.180000,1.420000,0.030000,2.400000
"Theme Hospital","PC",1997,"Strategy","Electronic Arts",2.300000,0.100000,0.000000,0.000000,2.400000
"Need for Speed (2015)","PS4",2015,"Racing","Electronic Arts",0.490000,1.490000,0.050000,0.360000,2.390000
"Zumba Fitness","X360",2010,"Sports","505 Games",1.740000,0.480000,0.000000,0.180000,2.390000
"Monopoly","PC",1994,"Misc","Hasbro Interactive",1.490000,0.810000,0.000000,0.100000,2.390000
"Batman: Arkham Origins","PS3",2013,"Action","Warner Bros. Interactive Entertainment",1.070000,0.870000,0.040000,0.400000,2.390000
"Dead Island","X360",2011,"Action","Deep Silver",1.480000,0.710000,0.000000,0.200000,2.390000
"Guitar Hero","PS2",2005,"Misc","RedOctane",1.670000,0.610000,0.030000,0.070000,2.380000
"LEGO Star Wars: The Complete Saga","PS3",2007,"Action","LucasArts",1.020000,0.970000,0.000000,0.390000,2.380000
"Kinect: Disneyland Adventures","X360",2011,"Misc","Microsoft Game Studios",1.730000,0.460000,0.020000,0.180000,2.380000
"WCW/nWo Revenge","N64",1998,"Fighting","THQ",1.940000,0.390000,0.030000,0.020000,2.380000
"Bloodborne","PS4",2015,"Action","Sony Computer Entertainment",1.000000,0.760000,0.260000,0.360000,2.380000
"NBA 2K15","PS4",2014,"Sports","Take-Two Interactive",1.460000,0.540000,0.010000,0.370000,2.380000
"Madden NFL 11","PS3",2010,"Sports","Electronic Arts",2.040000,0.150000,0.000000,0.190000,2.380000
"Yu-Gi-Oh! The Duelists of the Roses","PS2",2001,"Misc","Konami Digital Entertainment",1.160000,0.910000,0.000000,0.300000,2.380000
"Madden NFL 08","X360",2007,"Sports","Electronic Arts",2.180000,0.010000,0.000000,0.180000,2.370000
"Half-Life 2","PC",2004,"Shooter","Vivendi Games",2.280000,0.020000,0.080000,0.000000,2.370000
"The Incredibles","PS2",2004,"Action","THQ",0.960000,1.080000,0.040000,0.300000,2.370000
"Tony Hawks Underground 2","PS2",2004,"Sports","Activision",1.250000,0.860000,0.010000,0.260000,2.370000
"Madden NFL 10","PS3",2009,"Sports","Electronic Arts",2.030000,0.130000,0.000000,0.210000,2.370000
"Kinect Sports: Season Two","X360",2011,"Sports","Microsoft Game Studios",1.380000,0.740000,0.020000,0.220000,2.360000
"Kirbys Dream Land 2","GB",1995,"Platform","Nintendo",0.690000,0.140000,1.480000,0.050000,2.360000
"LEGO Harry Potter: Years 1-4","DS",2010,"Action","Warner Bros. Interactive Entertainment",1.070000,1.050000,0.000000,0.230000,2.350000
"Donkey Kong Land II","GB",1996,"Platform","Nintendo",1.390000,0.480000,0.400000,0.080000,2.350000
"Dragon Warrior Monsters","GB",1998,"Role-Playing","Eidos Interactive",0.000000,0.000000,2.340000,0.010000,2.350000
"Midnight Club: Los Angeles","X360",2008,"Racing","Take-Two Interactive",1.680000,0.460000,0.010000,0.200000,2.350000
"Skylanders SWAP Force","Wii",2013,"Platform","Activision",1.320000,0.830000,0.000000,0.200000,2.340000
"WWE SmackDown vs Raw 2008","PS2",2007,"Fighting","THQ",0.920000,0.000000,0.010000,1.410000,2.340000
"My Fitness Coach","Wii",2008,"Sports","Ubisoft",1.200000,0.900000,0.000000,0.240000,2.340000
"Resident Evil - Code: Veronica X","PS2",2001,"Action","Capcom",1.080000,0.700000,0.340000,0.210000,2.340000
"The Sims 3","X360",2010,"Simulation","Electronic Arts",1.270000,0.860000,0.000000,0.200000,2.330000
"The Legend of Zelda: Majoras Mask 3D","3DS",2015,"Action","Nintendo",1.140000,0.540000,0.470000,0.170000,2.320000
"NBA 2K16","XOne",2015,"Sports","Take-Two Interactive",1.930000,0.140000,0.000000,0.240000,2.320000
"Just Dance Kids","Wii",2010,"Misc","Ubisoft",1.570000,0.560000,0.000000,0.190000,2.320000
"Mario Tennis","N64",2000,"Sports","Nintendo",0.780000,0.400000,1.060000,0.070000,2.320000
"Grand Theft Auto","PS",1997,"Action","Take-Two Interactive",0.790000,1.350000,0.040000,0.140000,2.320000
"James Bond 007: Everything or Nothing","PS2",2004,"Shooter","Electronic Arts",0.850000,1.060000,0.090000,0.320000,2.310000
"WarioWare Touched!","DS",2004,"Puzzle","Nintendo",0.520000,0.450000,1.210000,0.130000,2.310000
"Need For Speed: High Stakes","PS",1999,"Racing","Electronic Arts",1.580000,0.640000,0.000000,0.090000,2.310000
"Chrono Trigger","SNES",1995,"Role-Playing","SquareSoft",0.280000,0.000000,2.020000,0.010000,2.310000
"Cool Boarders 3","PS",1998,"Sports","989 Studios",1.650000,0.460000,0.100000,0.100000,2.310000
"LEGO Marvel Super Heroes","X360",2013,"Action","Warner Bros. Interactive Entertainment",1.240000,0.850000,0.000000,0.210000,2.300000
"Guild Wars 2","PC",2012,"Action","NCSoft",0.950000,1.060000,0.000000,0.290000,2.300000
"Pokemon Ranger: Shadows of Almia","DS",2008,"Role-Playing","Nintendo",0.950000,0.540000,0.620000,0.180000,2.300000
"Dead Island","PS3",2011,"Action","Deep Silver",1.080000,0.750000,0.150000,0.310000,2.290000
"Tomb Raider II","PC",1997,"Action","Eidos Interactive",0.910000,1.250000,0.000000,0.130000,2.290000
"God of War: Ascension","PS3",2013,"Action","Sony Computer Entertainment",1.230000,0.680000,0.040000,0.340000,2.290000
"Need for Speed Underground 2","XB",2004,"Racing","Electronic Arts",1.380000,0.800000,0.000000,0.100000,2.280000
"Pro Evolution Soccer 2010","PS3",2009,"Sports","Konami Digital Entertainment",0.300000,1.270000,0.460000,0.260000,2.280000
"Just Dance 2015","Wii",2014,"Misc","Ubisoft",1.110000,0.980000,0.000000,0.200000,2.280000
"Yokai Watch Busters","3DS",2015,"Action","Level 5",0.000000,0.000000,2.280000,0.000000,2.280000
"Mario Bros.","NES",1983,"Platform","Nintendo",0.510000,0.120000,1.630000,0.020000,2.280000
"FIFA Soccer 09","PS2",2008,"Sports","Electronic Arts",0.380000,0.070000,0.010000,1.820000,2.280000
"Star Wars: The Force Unleashed","PS3",2008,"Action","LucasArts",1.010000,0.900000,0.000000,0.370000,2.280000
"Borderlands 2","PS3",2012,"Shooter","Take-Two Interactive",1.050000,0.770000,0.100000,0.360000,2.280000
"TOCA Touring Car Championship","PS",1997,"Racing","Codemasters",0.070000,2.000000,0.020000,0.180000,2.280000
"Paper Mario: Sticker Star","3DS",2012,"Role-Playing","Nintendo",1.120000,0.390000,0.640000,0.120000,2.270000
"Sonics Ultimate Genesis Collection","PS3",2009,"Misc","Sega",1.340000,0.620000,0.000000,0.310000,2.270000
"Super Monkey Ball: Banana Blitz","Wii",2006,"Misc","Sega",1.070000,0.920000,0.040000,0.240000,2.270000
"Kirby: Nightmare in Dream Land","GBA",2002,"Platform","Nintendo",1.220000,0.100000,0.910000,0.040000,2.270000
"Wario Land 4","GBA",2001,"Platform","Nintendo",0.900000,0.730000,0.540000,0.090000,2.260000
"Guitar Hero III: Legends of Rock","PS3",2007,"Misc","Activision",1.400000,0.540000,0.020000,0.300000,2.260000
"Resident Evil 4","Wii",2007,"Action","Capcom",1.340000,0.570000,0.140000,0.210000,2.260000
"Minecraft","PSV",2014,"Misc","Sony Computer Entertainment Europe",0.280000,0.790000,0.870000,0.320000,2.250000
"Onimusha 2: Samurais Destiny","PS2",2002,"Adventure","Capcom",0.620000,0.440000,1.060000,0.130000,2.250000
"Cool Boarders 2","PS",1997,"Sports","UEP Systems",1.520000,0.460000,0.200000,0.080000,2.250000
"Paper Mario: The Thousand-Year Door","GC",2004,"Role-Playing","Nintendo",1.480000,0.250000,0.460000,0.060000,2.250000
"Madden NFL 12","PS3",2011,"Sports","Electronic Arts",1.930000,0.150000,0.000000,0.170000,2.250000
"Monster Hunter Tri","Wii",2009,"Role-Playing","Nintendo",0.670000,0.410000,1.050000,0.110000,2.250000
"Dissidia: Final Fantasy","PSP",2008,"Fighting","Square Enix",0.510000,0.510000,0.910000,0.320000,2.250000
"Sonic Advance","GBA",2001,"Platform","Sega",1.190000,0.710000,0.220000,0.130000,2.240000
"Spyro: Season of Ice","GBA",2001,"Platform","Vivendi Games",1.290000,0.830000,0.000000,0.110000,2.230000
"Teenage Mutant Ninja Turtles II: The Arcade Game","NES",1990,"Action","Konami Digital Entertainment",1.740000,0.250000,0.210000,0.030000,2.230000
"LEGO Indiana Jones: The Original Adventures","DS",2008,"Action","Activision",1.420000,0.610000,0.000000,0.210000,2.230000
"Dance Dance Revolution X2","PS2",2009,"Simulation","Konami Digital Entertainment",1.090000,0.850000,0.000000,0.280000,2.230000
"New Super Luigi U","WiiU",2013,"Platform","Nintendo",1.270000,0.620000,0.180000,0.160000,2.220000
"Prince of Persia: The Sands of Time","PS2",2003,"Action","Ubisoft",0.880000,1.030000,0.000000,0.310000,2.220000
"Scribblenauts","DS",2009,"Puzzle","Warner Bros. Interactive Entertainment",1.710000,0.320000,0.020000,0.180000,2.220000
"The Legend of Zelda: Links Awakening DX","GB",1998,"Adventure","Nintendo",1.000000,0.630000,0.450000,0.130000,2.220000
"Need for Speed: Hot Pursuit","X360",2010,"Racing","Electronic Arts",1.030000,0.980000,0.000000,0.210000,2.220000
"BioShock 2","X360",2010,"Shooter","Take-Two Interactive",1.450000,0.550000,0.020000,0.190000,2.210000
"Assassins Creed IV: Black Flag","XOne",2013,"Action","Ubisoft",1.470000,0.550000,0.000000,0.190000,2.210000
"Devil May Cry 3: Dantes Awakening Special Edition","PS2",2006,"Action","Capcom",1.060000,0.820000,0.050000,0.280000,2.210000
"Rock Band 2","X360",2008,"Misc","Electronic Arts",1.780000,0.240000,0.000000,0.180000,2.200000
"Frogger","2600",1981,"Action","Parker Bros.",2.060000,0.120000,0.000000,0.020000,2.200000
"Guitar Hero II","X360",2007,"Misc","Activision",2.010000,0.020000,0.000000,0.170000,2.200000
"Wario Land 3","GB",2000,"Platform","Nintendo",1.110000,0.510000,0.340000,0.230000,2.200000
"Pro Yakyuu Family Stadium","NES",1986,"Sports","Namco Bandai Games",0.150000,0.000000,2.050000,0.000000,2.200000
"Sonic Unleashed","Wii",2008,"Platform","Sega",1.280000,0.680000,0.020000,0.210000,2.200000
"High School Musical: Makin the Cut!","DS",2007,"Puzzle","Disney Interactive Studios",1.060000,0.910000,0.000000,0.230000,2.200000
"Pro Evolution Soccer 2012","PS3",2011,"Action","Konami Digital Entertainment",0.340000,0.970000,0.550000,0.330000,2.190000
"Saints Row","X360",2006,"Action","THQ",1.170000,0.780000,0.020000,0.220000,2.190000
"Star Wars: Knights of the Old Republic","XB",2003,"Role-Playing","Activision",1.680000,0.440000,0.000000,0.080000,2.190000
"Kirbys Pinball Land","GB",1992,"Misc","Nintendo",0.870000,0.170000,1.100000,0.050000,2.190000
"Donkey Kong Country","GB",2000,"Platform","Nintendo",1.040000,0.720000,0.300000,0.130000,2.190000
"Hitman: Absolution","PS3",2012,"Action","Square Enix",0.590000,1.070000,0.070000,0.450000,2.190000
"Yu-Gi-Oh: Duel Monsters 4","GB",2000,"Role-Playing","Konami Digital Entertainment",0.000000,0.000000,2.170000,0.010000,2.180000
"ATV Offroad Fury 2","PS2",2002,"Racing","THQ",1.920000,0.200000,0.000000,0.060000,2.180000
"Forza Motorsport 5","XOne",2013,"Racing","Microsoft Game Studios",1.210000,0.780000,0.010000,0.170000,2.180000
"Madden NFL 25","X360",2013,"Sports","Electronic Arts",1.970000,0.070000,0.000000,0.130000,2.180000
"Pokemon Ranger","DS",2006,"Role-Playing","Nintendo",1.290000,0.040000,0.730000,0.120000,2.180000
"Mario & Luigi: Superstar Saga","GBA",2003,"Role-Playing","Nintendo",1.480000,0.170000,0.470000,0.060000,2.170000
"Final Fantasy XIII","X360",2010,"Role-Playing","Square Enix",1.270000,0.680000,0.010000,0.200000,2.170000
"Star Wars: Rogue Squadron","N64",1998,"Simulation","Nintendo",1.600000,0.460000,0.080000,0.030000,2.170000
"Tennis","NES",1984,"Sports","Nintendo",0.480000,0.110000,1.560000,0.020000,2.170000
"The Sims: House Party","PC",2001,"Simulation","Electronic Arts",1.230000,0.830000,0.000000,0.100000,2.160000
"Your Shape featuring Jenny McCarthy","Wii",2009,"Sports","Ubisoft",1.510000,0.470000,0.000000,0.180000,2.160000
"Syphon Filter 2","PS",2000,"Shooter","Sony Computer Entertainment",1.500000,0.550000,0.020000,0.080000,2.150000
"Tom Clancys Rainbow Six: Siege","PS4",2015,"Shooter","Ubisoft",0.540000,1.160000,0.130000,0.320000,2.150000
"Volleyball","NES",1987,"Sports","Nintendo",0.140000,0.030000,1.980000,0.000000,2.150000
"FIFA 15","XOne",2014,"Sports","Electronic Arts",0.600000,1.410000,0.000000,0.140000,2.150000
"Call of Duty: Roads to Victory","PSP",2007,"Shooter","Activision",0.520000,1.030000,0.000000,0.590000,2.140000
"Super Mario RPG: Legend of the Seven Stars","SNES",1996,"Role-Playing","Nintendo",0.660000,0.000000,1.450000,0.030000,2.140000
"Mahjong","NES",1983,"Misc","Nintendo",0.010000,0.000000,2.130000,0.000000,2.140000
"R.C. Pro-Am","NES",1988,"Racing","Nintendo",1.470000,0.380000,0.190000,0.100000,2.140000
"SimCity 2000","PC",1992,"Simulation","Maxis",1.200000,0.840000,0.000000,0.100000,2.140000
"Demon Attack","2600",1981,"Shooter","Imagic",1.990000,0.120000,0.000000,0.020000,2.130000
"Dance Dance Revolution Extreme","PS2",2004,"Simulation","Konami Digital Entertainment",1.040000,0.810000,0.000000,0.270000,2.130000
"Tetris DS","DS",2006,"Puzzle","Nintendo",0.640000,0.070000,1.350000,0.080000,2.130000
"Final Fantasy Tactics Advance","GBA",2003,"Role-Playing","SquareSoft",0.820000,0.370000,0.890000,0.050000,2.130000
"Far Cry: Primal","PS4",2016,"Action","Ubisoft",0.590000,1.160000,0.060000,0.330000,2.130000
